epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5806.16,1.38465,0.69729,1.45125,0.89488,0.83185,0.89814,0.51526,1.49843,0.78062,1.84077,0.007921,0.007921,0.007921
44,5939.74,1.38807,0.6993,1.4602,0.85047,0.83944,0.89118,0.51745,1.47653,0.80134,1.82765,0.0078715,0.0078715,0.0078715
45,6072.94,1.39256,0.69551,1.46121,0.91101,0.83414,0.89828,0.51933,1.4852,0.76635,1.83812,0.007822,0.007822,0.007822
46,6206.12,1.38936,0.69627,1.46031,0.85335,0.84811,0.88701,0.51626,1.48791,0.79661,1.83683,0.0077725,0.0077725,0.0077725
47,6339.94,1.36947,0.6896,1.44644,0.86933,0.85028,0.89742,0.52053,1.48175,0.7744,1.83798,0.007723,0.007723,0.007723
48,6472.64,1.36524,0.68914,1.44975,0.9188,0.83681,0.9073,0.5264,1.48129,0.73784,1.83283,0.0076735,0.0076735,0.0076735
49,6608.32,1.36211,0.68178,1.43985,0.93227,0.84062,0.90481,0.51976,1.50222,0.74108,1.85063,0.007624,0.007624,0.007624
50,6741.48,1.35967,0.67609,1.43588,0.92142,0.84004,0.90451,0.52014,1.5032,0.73155,1.85704,0.0075745,0.0075745,0.0075745
51,6875.57,1.3555,0.67364,1.44032,0.92626,0.83907,0.9069,0.52474,1.49008,0.73173,1.84327,0.007525,0.007525,0.007525
52,7009.68,1.35081,0.66896,1.43197,0.91372,0.8215,0.89695,0.51689,1.50827,0.76383,1.85977,0.0074755,0.0074755,0.0074755
53,7143.38,1.34954,0.66458,1.43008,0.87052,0.84464,0.89754,0.51786,1.50255,0.76849,1.8556,0.007426,0.007426,0.007426
54,7276.68,1.33717,0.65978,1.43049,0.90535,0.83594,0.89914,0.51981,1.50045,0.75458,1.85776,0.0073765,0.0073765,0.0073765
55,7409.65,1.33783,0.65744,1.42285,0.8932,0.83245,0.89231,0.51622,1.50091,0.76721,1.85664,0.007327,0.007327,0.007327
56,7543.02,1.33462,0.65635,1.42028,0.87672,0.84465,0.89396,0.52059,1.49673,0.76589,1.85345,0.0072775,0.0072775,0.0072775
57,7675.92,1.33359,0.65528,1.41876,0.90648,0.84297,0.89979,0.52293,1.49707,0.7381,1.85172,0.007228,0.007228,0.007228
58,7809.44,1.32757,0.64839,1.41826,0.89875,0.84221,0.90096,0.52419,1.49644,0.73493,1.85078,0.0071785,0.0071785,0.0071785
59,7942.76,1.31036,0.64723,1.40137,0.89543,0.84052,0.90179,0.5248,1.49176,0.73322,1.84827,0.007129,0.007129,0.007129
60,8077.21,1.31633,0.64456,1.41805,0.90187,0.83474,0.89991,0.52267,1.49683,0.73788,1.85135,0.0070795,0.0070795,0.0070795
61,8210.16,1.31489,0.64084,1.41249,0.89937,0.8398,0.9025,0.52339,1.4933,0.72932,1.85241,0.00703,0.00703,0.00703
62,8343.65,1.30604,0.63913,1.40931,0.89715,0.83213,0.90158,0.52242,1.49425,0.73425,1.85263,0.0069805,0.0069805,0.0069805
63,8476.46,1.31076,0.63856,1.40829,0.90366,0.83173,0.90392,0.52449,1.48818,0.73253,1.84638,0.006931,0.006931,0.006931
64,8609.59,1.30065,0.63311,1.39689,0.8814,0.83835,0.90294,0.52297,1.49163,0.74073,1.85018,0.0068815,0.0068815,0.0068815
65,8742.9,1.28523,0.62182,1.38993,0.87241,0.8392,0.90116,0.52073,1.50031,0.74331,1.86011,0.006832,0.006832,0.006832
66,8876.24,1.29683,0.62863,1.39717,0.86479,0.85055,0.90109,0.52274,1.49798,0.74337,1.85685,0.0067825,0.0067825,0.0067825
67,9009.87,1.29031,0.62571,1.4019,0.85577,0.85317,0.89862,0.52077,1.50022,0.7505,1.8574,0.006733,0.006733,0.006733
68,9142.56,1.28307,0.61629,1.39748,0.85753,0.85187,0.89718,0.51991,1.50023,0.7518,1.85816,0.0066835,0.0066835,0.0066835
69,9276.08,1.2768,0.61407,1.37639,0.85634,0.84678,0.89467,0.51831,1.50169,0.7573,1.86081,0.006634,0.006634,0.006634
70,9409.11,1.2707,0.61075,1.37476,0.85067,0.84341,0.89407,0.51756,1.50474,0.75973,1.86361,0.0065845,0.0065845,0.0065845
71,9543.24,1.26644,0.61345,1.38458,0.86328,0.8345,0.89288,0.51845,1.50235,0.75465,1.86318,0.006535,0.006535,0.006535
72,9676.47,1.2651,0.61028,1.37871,0.87335,0.83402,0.89399,0.51853,1.50471,0.74931,1.86572,0.0064855,0.0064855,0.0064855
73,9809.95,1.26904,0.61126,1.38526,0.88427,0.83293,0.89581,0.51993,1.49961,0.74136,1.86241,0.006436,0.006436,0.006436
74,9943.5,1.25729,0.60455,1.37074,0.89128,0.8345,0.89681,0.52038,1.5029,0.7372,1.86572,0.0063865,0.0063865,0.0063865
75,10076.6,1.26095,0.60254,1.38023,0.89486,0.83474,0.89794,0.52018,1.5043,0.7322,1.86764,0.006337,0.006337,0.006337
76,10210.3,1.25392,0.59864,1.37572,0.90076,0.83799,0.89969,0.5207,1.50375,0.72488,1.86875,0.0062875,0.0062875,0.0062875
77,10342.9,1.24352,0.5983,1.37442,0.90443,0.83785,0.89907,0.52049,1.50765,0.72442,1.87299,0.006238,0.006238,0.006238
78,10477,1.25155,0.59543,1.36694,0.90838,0.83835,0.90027,0.52013,1.50847,0.719,1.87371,0.0061885,0.0061885,0.0061885
79,10609.8,1.23484,0.58854,1.35555,0.90789,0.83823,0.89978,0.52013,1.50907,0.7209,1.87606,0.006139,0.006139,0.006139
80,10743.8,1.23375,0.59002,1.36097,0.90568,0.84112,0.89962,0.52035,1.5095,0.72042,1.87807,0.0060895,0.0060895,0.0060895
81,10877.6,1.22121,0.58026,1.3515,0.90663,0.83871,0.8991,0.51948,1.51206,0.72173,1.881,0.00604,0.00604,0.00604
82,11011.1,1.21742,0.58118,1.35442,0.90768,0.83606,0.89754,0.51777,1.51596,0.72343,1.88478,0.0059905,0.0059905,0.0059905
83,11144.5,1.22186,0.58336,1.35581,0.90941,0.8392,0.89813,0.51825,1.51856,0.72347,1.88739,0.005941,0.005941,0.005941
84,11277.8,1.20412,0.57603,1.33848,0.91181,0.83811,0.89825,0.51771,1.522,0.72396,1.89089,0.0058915,0.0058915,0.0058915
85,11411.4,1.20702,0.57799,1.34039,0.91313,0.83945,0.89815,0.51756,1.5253,0.72384,1.89503,0.005842,0.005842,0.005842
86,11545,1.20397,0.57282,1.33956,0.91311,0.83944,0.89829,0.51756,1.52487,0.72401,1.89582,0.0057925,0.0057925,0.0057925
87,11678.6,1.19414,0.57072,1.33066,0.91364,0.83727,0.89822,0.51743,1.52572,0.72556,1.89776,0.005743,0.005743,0.005743
88,11812.2,1.18909,0.56605,1.32994,0.91294,0.83751,0.898,0.51621,1.52742,0.72745,1.90008,0.0056935,0.0056935,0.0056935
89,11945.5,1.1911,0.5631,1.32983,0.91294,0.83883,0.8987,0.51669,1.52788,0.72656,1.90145,0.005644,0.005644,0.005644
90,12078.2,1.18538,0.56278,1.32592,0.9127,0.83751,0.89834,0.51674,1.52836,0.72749,1.90244,0.0055945,0.0055945,0.0055945
91,12213.7,1.17687,0.55334,1.31942,0.91091,0.83872,0.89821,0.51618,1.52836,0.72776,1.9033,0.005545,0.005545,0.005545
92,12349.4,1.17941,0.55873,1.32112,0.91324,0.83678,0.8981,0.51604,1.52936,0.72732,1.90513,0.0054955,0.0054955,0.0054955
93,12486.4,1.16511,0.55711,1.31048,0.91553,0.83556,0.898,0.5158,1.52952,0.72708,1.90632,0.005446,0.005446,0.005446
94,12623.1,1.16658,0.55085,1.31194,0.91735,0.8342,0.89797,0.51532,1.53067,0.72686,1.90761,0.0053965,0.0053965,0.0053965
95,12758.9,1.15783,0.55043,1.31361,0.91949,0.83281,0.89744,0.51495,1.53143,0.72681,1.90898,0.005347,0.005347,0.005347
96,12895,1.16387,0.55213,1.3104,0.91957,0.83377,0.89774,0.51506,1.53173,0.72609,1.9096,0.0052975,0.0052975,0.0052975
97,13030.7,1.15586,0.54747,1.30754,0.92124,0.83406,0.89741,0.51446,1.53221,0.72623,1.91048,0.005248,0.005248,0.005248
98,13168.1,1.14447,0.54401,1.29669,0.92131,0.83402,0.89758,0.514,1.5339,0.7272,1.91277,0.0051985,0.0051985,0.0051985
99,13304.2,1.14568,0.54064,1.30108,0.92037,0.83528,0.89756,0.51376,1.53528,0.72686,1.91445,0.005149,0.005149,0.005149
100,13440.6,1.14203,0.54322,1.2995,0.92048,0.83594,0.89773,0.51374,1.53689,0.72671,1.91633,0.0050995,0.0050995,0.0050995
101,13576.5,1.13782,0.54138,1.29721,0.91945,0.83727,0.89755,0.51264,1.53903,0.72775,1.9185,0.00505,0.00505,0.00505
102,13712.8,1.12997,0.53383,1.29028,0.91803,0.83787,0.89715,0.51256,1.54046,0.72818,1.92028,0.0050005,0.0050005,0.0050005
103,13849.1,1.13148,0.53757,1.29461,0.92043,0.83594,0.89674,0.51211,1.54156,0.72804,1.92139,0.004951,0.004951,0.004951
104,13985.8,1.12632,0.53337,1.29052,0.92052,0.8351,0.89749,0.51232,1.54191,0.72862,1.92233,0.0049015,0.0049015,0.0049015
105,14122.2,1.12069,0.53251,1.28781,0.91879,0.83534,0.89655,0.5118,1.54287,0.72931,1.92366,0.004852,0.004852,0.004852
106,14257.6,1.11794,0.52568,1.28843,0.91958,0.83605,0.89693,0.51166,1.54374,0.72945,1.92503,0.0048025,0.0048025,0.0048025
107,14393.7,1.1092,0.52455,1.277,0.91859,0.83582,0.89616,0.51136,1.54449,0.72937,1.92632,0.004753,0.004753,0.004753
108,14529.8,1.1009,0.52372,1.27207,0.91934,0.83462,0.89647,0.51121,1.54492,0.72949,1.92723,0.0047035,0.0047035,0.0047035
